rating,date,content,Extreme_score,review_vector
4.0,2026-01-20,good twist however the first half dragged on,99.0,"[ 3.9830834e-02 -4.9621258e-03  1.3239001e-03 -2.7314392e-03
  4.8289413e-04 -2.8510846e-03  3.3051576e-02 -1.2905814e-02
  2.0242233e-03 -9.1439509e-04 -3.7754158e-04  3.6073108e-03
 -3.2563112e-03  5.4224939e-03 -2.5008225e-03 -1.0113090e-02
 -1.0782888e-02  2.3636711e-03 -2.1212888e-03 -1.5406864e-02
 -6.0900855e-03  2.0340299e-03 -3.2410093e-03  1.2492081e-03
 -1.0791683e-02  9.3564987e-03 -7.2700325e-03  1.8745228e-03
 -2.3691945e-02  3.6649159e-03 -1.8238144e-02  1.6486607e-02
 -6.9021527e-03 -9.3041407e-03 -9.5554739e-03 -1.8324915e-02
  4.8297914e-03 -2.4869889e-03  1.5195934e-02  4.1169018e-02
  9.6767787e-03  1.2934844e-02 -1.2027085e-02 -1.9388255e-03
 -9.1971597e-05 -9.9705923e-03 -7.3152385e-03 -1.2711985e-03
 -9.2219850e-03  1.9243568e-02  1.6689260e-02 -4.5188577e-03
  1.0271158e-02  1.3728371e-02  1.1234290e-03 -2.3517311e-02
  2.1727220e-03 -3.6978668e-03 -2.8822515e-03 -1.3391413e-03
  2.6843648e-03 -1.5036127e-02  5.2190553e-03  2.6300522e-03
  1.0702636e-02  5.7208277e-03  6.8451809e-03 -3.2366635e-03
 -4.2655389e-03 -6.9984142e-03  2.8174771e-02 -1.1744294e-02
  8.3807493e-03  2.7232717e-03 -1.1174030e-02  6.3273199e-03
  2.4912288e-02 -4.0919208e-03  3.2021038e-03 -1.4664193e-03
 -1.3565775e-02  2.7285775e-03 -1.7198207e-02 -7.8234375e-03
  2.8218043e-03 -5.2506197e-03 -4.2359377e-03 -6.8306630e-03
  8.8955858e-04 -1.0302561e-02 -1.2824554e-02 -9.8130852e-03
  2.0737685e-02 -2.1603771e-02 -1.1320710e-02 -4.3990742e-03
 -7.0971283e-03  2.1056570e-03 -2.6735960e-04  2.8365595e-02]"
5.0,2026-01-17,foot on the gas from start to finish even with subtitles this movie kills it the climactic ending is one of one,693.75,"[ 0.05165062 -0.0089656  -0.0015272  -0.00294196  0.0008494   0.00311612
  0.07074565 -0.00721032  0.00206816 -0.00181355 -0.00366829  0.00432028
 -0.00512524  0.00854762 -0.00209097  0.00239394 -0.00751665  0.00289688
  0.01810701  0.01627074 -0.01202539 -0.00781894 -0.01954197  0.00336546
 -0.00656345 -0.01199253 -0.01090002  0.00692914  0.00078404 -0.00324774
 -0.01184421  0.00332799 -0.00954225 -0.01752548 -0.001721   -0.01257095
  0.01457206  0.01004223  0.00681516  0.01336898 -0.01118699 -0.02247731
 -0.0090799   0.01769808 -0.01616315 -0.01840279  0.00467305 -0.00203786
 -0.00927999 -0.00210465 -0.00370001 -0.01924554  0.002254    0.00851105
 -0.01535023 -0.01715872 -0.00502738 -0.00878087 -0.00697107  0.01279686
  0.00823511  0.00564719 -0.00310322  0.01351676  0.00864732  0.00458716
 -0.00660629  0.00436741  0.00901489  0.00966575  0.0075885   0.01667712
 -0.00895242  0.00197568  0.01046753  0.00451677  0.00501585  0.0029577
 -0.01099739 -0.00624897 -0.01181259 -0.00501129  0.00191751  0.00261628
  0.00558453  0.00135188  0.01046686  0.00562812 -0.00028212 -0.00943224
 -0.00734998 -0.00997843  0.01159012 -0.00964235 -0.01048582 -0.00144967
  0.01148936  0.00035707  0.00781708  0.01162251]"
4.5,2026-01-15,parasite leaves you with the feeling of having seen something truly different it starts almost like a game lowers your guard and gradually pulls you into something far darker one of its greatest strengths is how effortlessly it blends tones black comedy social satire and rising tension coexist without ever feeling forced the films use of space and visual contrasts adds as much meaning as the dialogue giving every scene a precise but never cold clarity bong joonho observes rather than judges letting the story speak for itself while pressing exactly where it hurts most its smart sharp uncomfortable and deeply entertaining not quite perfect but very close,2640.0,"[ 4.1151330e-02 -4.5946888e-03  5.7463546e-04  1.9247644e-03
 -8.5750845e-04  1.8807150e-02  3.8178116e-02 -1.0500242e-02
  1.8835385e-04 -2.0702945e-03 -1.9144214e-03  2.0451399e-03
  9.3516597e-04  6.6738651e-04  1.9585202e-03 -2.7734977e-03
 -2.3470318e-03  5.3782249e-04 -2.3078719e-04  3.5926297e-03
  6.8026659e-04  5.2826968e-04 -3.3719526e-04 -3.6544686e-03
  1.2836504e-03 -3.1495241e-03  4.6233111e-03 -4.8622242e-03
 -1.7758423e-03  3.7119645e-03  8.8868178e-03 -7.9626578e-04
  5.8093616e-03 -2.4542287e-03  4.1861081e-04  8.9736255e-03
 -3.6408172e-03 -1.8877133e-04  9.9766785e-03  5.7189334e-03
 -3.5106447e-03  4.6869330e-03 -4.0514506e-03  3.7706445e-03
  1.0145904e-02  9.5762785e-05  5.1568439e-03  1.9887651e-04
 -4.3577226e-03  4.3868246e-03 -8.4075634e-04 -2.4064437e-03
 -2.8041368e-03  3.2152859e-03  3.2054544e-03 -5.1923776e-03
 -5.2325297e-03  9.4572135e-04  1.7608691e-02  5.2074841e-03
 -2.4318981e-03  5.6914189e-03 -7.2646309e-03 -2.8359743e-03
 -2.4534275e-03  2.6114050e-03 -4.4014622e-04 -1.4061911e-03
  2.3739683e-03  3.9023047e-03  4.4814725e-03  5.6368620e-03
 -3.4653873e-03  9.0113357e-03 -5.7875784e-03  3.4115842e-04
  1.0209605e-03  6.0009579e-03 -2.5547130e-03 -4.3390458e-03
  6.1055254e-03  2.9742564e-03 -3.6778342e-04  6.0827350e-03
  6.0078749e-03 -2.4144797e-04 -8.0494359e-03 -6.5897084e-03
  6.4418052e-04  2.5479123e-03 -8.3244694e-03 -4.5666350e-03
 -4.4661048e-03 -3.4481080e-03 -2.6246354e-03 -1.4513955e-03
  4.9516081e-04  2.4496273e-03 -1.1288049e-03 -1.6741242e-03]"
5.0,2026-01-12,an example of a perfect film,175.0,"[ 0.05790489 -0.00118624 -0.00102173  0.01944317  0.01575934  0.03652127
  0.0862182  -0.01043936 -0.00153941 -0.0059197  -0.01074917  0.03414928
 -0.01234471  0.01925579 -0.00082834  0.01540294 -0.01172255 -0.02213133
  0.03652504  0.00137933 -0.00405006  0.00640499 -0.02469312  0.00171896
  0.01345336 -0.02190534  0.01968096 -0.00103827  0.02465917  0.02529061
 -0.01038815  0.00162011  0.00928009 -0.03094127 -0.02056641  0.00734625
 -0.01225839  0.034792   -0.02022911 -0.028696    0.0127076  -0.00264665
  0.00996833 -0.00366694 -0.01195366 -0.01998569  0.02242447  0.014115
 -0.00283999  0.02071413 -0.00119389 -0.01194336 -0.00791078  0.00909591
  0.00961696 -0.01641056 -0.01168864  0.01146912 -0.00603408  0.00796495
 -0.00336479  0.01795039  0.00615259  0.01141011 -0.01381182 -0.02895879
  0.00249329 -0.00501762  0.01087142 -0.00577085  0.02387135  0.01464649
  0.01455361  0.02459388  0.00752863 -0.00779175  0.00106055 -0.00618544
  0.00852999 -0.00168516 -0.0106172   0.00230995  0.01967751  0.00521948
 -0.01529701 -0.00046221  0.00334672 -0.02398759 -0.00554088 -0.01090751
 -0.00423777 -0.00668988  0.00093273 -0.01101203  0.00756655  0.00496273
 -0.01364706 -0.00083591 -0.02037749  0.01234583]"
5.0,2026-01-11,is an absolute mustsee true harsh it hits you right in the face this movie explains and makes you understand so many sad existing realities of our world,950.0,"[ 4.45157774e-02 -7.39343604e-03 -1.40462245e-03  4.65761783e-04
  1.93200074e-04 -1.70174259e-04  5.06528728e-02 -9.36327130e-03
  2.83598877e-03 -4.28578263e-04 -3.51428846e-03  7.18907831e-05
 -3.75070886e-05  6.57266984e-03  8.43320508e-04  1.74936894e-02
 -1.62999041e-03 -5.98199246e-03  2.81908177e-02 -1.73723151e-03
 -7.96715356e-03 -5.49435150e-03 -9.27413441e-03  1.23409647e-02
 -3.65242246e-03 -8.35170690e-03  1.18646231e-02 -3.07025248e-03
 -9.59432218e-03  4.73337527e-03 -1.89479385e-02  4.68982337e-03
  5.89189061e-04 -7.28286803e-03 -7.34323682e-03  1.60761606e-02
 -1.64338890e-02  9.66939516e-03 -2.08344031e-03  3.34407343e-03
 -1.29665164e-02 -1.01345126e-02 -5.99500164e-03  2.51388550e-03
 -9.38494969e-03 -7.28823617e-03 -5.79822157e-03 -8.61922372e-03
 -1.47958798e-02 -3.62837943e-03  1.29840849e-02 -8.49206094e-03
  5.03441691e-03  1.21184932e-02 -3.24759469e-03 -6.22299081e-03
  1.53819681e-03 -5.26741194e-03 -2.78782519e-03  5.75458119e-03
 -7.78515637e-03  1.46639282e-02  1.23444265e-02 -9.74896457e-03
 -4.35246108e-03 -2.64415913e-03 -1.75589905e-03  2.27337033e-02
 -1.02522280e-02 -3.68976803e-03 -6.45468011e-03 -5.56138251e-03
 -8.72490928e-03  4.74028895e-03  6.58757333e-03 -1.75236573e-03
 -1.02637839e-02 -1.25770620e-03 -5.82789164e-03 -4.00123606e-03
  8.77007749e-03 -2.59373174e-03 -6.72442093e-03  1.91501182e-04
 -2.54776515e-03 -9.05914139e-03 -1.31464582e-02 -7.03895977e-03
 -2.92925583e-03  7.25765526e-03  2.00150273e-04  7.44042045e-04
 -3.83176166e-03 -9.77863837e-03  1.14730811e-02  8.43399321e-04
  4.56906203e-03  4.41682379e-04  2.62558204e-03  6.12147897e-03]"
5.0,2026-01-09,timeless a tasteful inspiration,193.75,"[ 2.44317129e-02  4.81757009e-03  3.48609127e-03 -2.79388390e-04
  2.08926736e-03  1.57133229e-02  3.77365015e-02  1.96493417e-03
 -2.53860536e-03 -3.05178133e-03  1.41512416e-03  2.26437263e-02
 -5.60648739e-03  1.11428034e-02  4.91737248e-03 -4.50995145e-03
 -7.04951026e-03 -3.72660835e-03  2.20902544e-02 -6.98321732e-03
 -9.46035050e-03  1.93801485e-02 -3.68156773e-03 -3.98239307e-03
  1.99041162e-02 -1.07367616e-02  2.77061928e-02 -1.62446331e-02
  1.14942156e-02 -1.81617448e-04  1.18500153e-02  4.11422411e-03
  8.99478793e-03 -5.94270509e-03 -2.55331062e-02  7.55198533e-03
 -6.80421595e-04  1.00089638e-02  1.78740267e-03 -2.05630297e-03
 -2.12620944e-05  1.21397097e-02  1.59536339e-02 -9.22509842e-03
  1.46587025e-02 -3.47603695e-03  1.09700998e-02  5.30145783e-03
  3.29781370e-03  3.32511961e-02 -2.17438675e-02 -1.24937445e-02
 -9.39720217e-03  1.04076397e-02  1.05000408e-02  5.14836982e-03
  2.51853885e-03  1.69233363e-02  1.75975747e-02 -1.78797580e-02
  2.14919392e-02 -3.91227659e-03 -2.88605690e-04  5.76318428e-03
 -1.95728485e-02 -2.48266547e-03 -6.46862900e-05 -1.56436507e-02
  1.07157025e-02 -2.02347431e-03 -8.86797346e-03  1.60869248e-02
  7.34401029e-03  2.41745468e-02  3.30904638e-03 -4.58024349e-03
  9.20465589e-03 -8.29857960e-03  4.53319959e-03  2.42822226e-02
 -7.35675264e-03  1.97541807e-02  1.79334346e-03  2.44288286e-03
 -2.06194166e-02 -7.29743205e-03 -5.36076841e-04  2.99772061e-03
 -2.56290310e-03 -7.88506959e-03 -2.08720961e-03 -7.15684891e-03
 -9.77821182e-05 -1.00266384e-02  1.35768286e-03  5.99922752e-03
 -4.59959498e-03 -2.22585872e-02 -2.12412924e-02  1.48951188e-02]"
5.0,2026-01-04,the good at face value the drama is very cartoony and almost sit com like its entertaining sure but its not what makes this movie so good what makes it so good is the layered messagingsymbolism hidden in so many scenes about classism acting is superb cinematography is great the twists and turns are all enticing and make you want to keep watching the director teases so many different directions the movie could take its done masterfully to keep you engaged and on your toes the entire time the bad some of the scenes are a little bit too cartoonyridiculous for my liking the father dragging himself across the room just looked bad he clearly did it for the suspense and drama but for me it just landed flat the other bad thing about this movie is that its not for everyone its a thinker movie thats why its not super mainstream it doesnt take away from the movie but its definitely a downside this is not a movie you turn on to be brainlessly entertained,5975.0,"[ 5.01805656e-02 -6.26755459e-03  8.55252903e-04 -2.48012133e-03
  2.68117437e-04 -2.38044653e-03  5.87343909e-02 -9.95999016e-03
  3.32400063e-03 -8.64995469e-04 -9.45786014e-04  3.56136775e-03
 -4.25023399e-03  2.59800418e-03  6.88275322e-04 -1.83552573e-03
 -7.41748651e-03 -1.50916027e-03  9.97457094e-03 -7.42738508e-03
 -6.55604340e-03  1.33165391e-03 -1.05427264e-03  6.43671863e-03
  6.09517156e-04  3.38180078e-04  1.04762400e-02 -8.19265936e-03
 -7.29076739e-04  1.88962137e-03 -1.50547614e-02  5.82656218e-03
 -4.66718106e-03 -3.71605251e-03 -3.09567293e-03 -4.77812719e-04
  5.82590839e-03  7.07653910e-03 -7.63845528e-05  8.60704947e-03
 -3.13354633e-03 -5.05477190e-03  4.54631913e-03  1.18167875e-02
  6.19467488e-03  8.99805280e-04 -1.03385588e-04  5.21586649e-03
 -1.05399089e-02 -3.32009327e-03 -4.76504443e-03 -1.01353985e-03
  2.82106036e-03 -2.88770488e-03 -3.60690290e-03 -7.39187142e-03
 -9.25784188e-05  2.43775477e-03  7.78769283e-03  3.24648316e-03
  7.66098313e-03 -2.59181368e-03  1.12660760e-04 -4.26340289e-03
 -1.43317541e-03 -1.48701330e-03  1.30926748e-03  6.59943651e-03
  3.38417158e-04  2.10707542e-03  7.51029642e-04  2.73815752e-03
 -1.55259180e-03  3.31885950e-03  2.14497850e-04  4.06323187e-03
 -2.82795890e-03 -8.38283275e-04 -2.49608001e-03  4.44567250e-03
 -1.03910698e-03 -2.71060620e-04  7.24892307e-04  4.45399899e-03
 -3.30361258e-03 -1.94336928e-03 -7.15037482e-03  3.81591701e-04
  3.69244408e-05 -2.70693726e-03 -3.86651955e-03  6.20039791e-05
  1.27673018e-04 -2.34438851e-03 -2.45396770e-03  4.89062769e-03
  3.68479709e-03 -8.92644189e-03  2.01362898e-04  1.64835574e-03]"
5.0,2026-01-04,i didnt watch this film until well after it dominated at the academy awards much to my pleasant surprise it absolutely lived up to its reputation simply incredible and engaging,1100.0,"[ 4.7592893e-02 -7.9421727e-03 -1.7737985e-03 -1.8288598e-05
  3.1384605e-03 -1.2728398e-02  5.0723799e-02 -1.4171822e-02
  5.1849601e-03 -3.1447786e-04 -4.0681055e-03  9.7035086e-03
 -5.7143886e-03  3.2701860e-03 -4.2465283e-03 -1.2418126e-02
 -2.7309081e-03  1.4363921e-02  5.9505613e-03 -4.2950786e-03
 -4.0606647e-03  2.1449309e-04 -8.0925669e-04 -1.3498693e-02
  7.5013679e-03 -6.3412995e-03  5.3359699e-03 -1.3684555e-02
 -7.0941788e-03 -2.8725462e-03 -1.8182641e-02  4.3876767e-03
 -1.3497076e-02 -2.5021075e-03  5.4470547e-03  6.1155320e-04
  3.2685769e-03 -1.8845613e-03  1.1679696e-02 -6.1184890e-03
 -1.4083090e-04 -9.0252394e-03 -9.6129309e-03  1.0237104e-02
 -8.2080225e-03  8.2895178e-03 -4.6459637e-03  1.4194662e-03
  1.4244448e-04 -1.1827652e-02  8.7311324e-03  1.7725328e-03
  1.2063438e-02 -4.4150651e-03 -5.5872756e-03 -3.6270085e-03
 -1.3222333e-02  1.2285565e-02 -8.2684122e-04  9.6556649e-04
  4.2754197e-03 -1.4206179e-02 -6.9044023e-03  6.4017542e-04
 -5.0860113e-03 -1.8761667e-03  2.0162420e-02 -2.4503423e-02
 -1.6693659e-03  3.8871958e-03  1.2601675e-02  2.7068229e-03
 -1.7429352e-02  1.6863309e-02 -5.6100357e-04  7.0764436e-03
 -3.7282275e-03 -1.5355322e-03  1.3398846e-03 -2.5734056e-03
 -8.7219215e-04 -1.1497324e-02 -4.7782552e-03  8.0388738e-03
  9.1831721e-03 -1.7868268e-03 -6.3366215e-03  4.1263904e-03
 -1.1721035e-03  1.0083398e-02  1.6459437e-03  1.5314567e-03
  3.7401491e-03 -3.4259807e-03  4.2404371e-04 -2.3023356e-04
  2.4052707e-03  1.4524574e-03  1.6597020e-03  7.6569538e-03]"
1.5,2026-01-03,watched it because i saw it recommended on a horror site i follow it was definitely not horror in any way really disappointed,125.0,"[ 4.77313623e-02 -7.01675517e-03 -7.36263057e-04 -2.55665253e-03
  3.55381431e-04 -2.15017889e-02  5.03474772e-02 -1.52864596e-02
  6.93960162e-03  1.68554659e-03 -5.71960758e-04  4.31227917e-03
 -1.89496088e-03  4.01365804e-03 -8.69636075e-04 -1.43968537e-02
 -2.14611273e-03  1.63372736e-02  1.70125370e-03 -1.28117800e-02
 -5.15208114e-03  1.19449738e-02  3.77357565e-03 -7.85539020e-03
  7.89227430e-03 -1.11323241e-02  1.58514325e-02 -2.42138887e-03
  2.81290151e-03 -2.15345368e-04  6.22085854e-03  6.23090426e-03
  5.24691539e-03 -1.80047676e-02  9.65484069e-04 -4.84685740e-03
  2.96792365e-03  2.11911951e-03  7.44637509e-04  2.05239896e-02
 -7.39905052e-03  4.56078677e-03 -1.61442757e-02 -8.86437669e-03
 -1.33804558e-02 -1.29824143e-03  1.03454189e-02 -1.51265338e-02
  8.85579921e-03  9.05760855e-04 -2.65723909e-03 -6.99527620e-04
  1.39837386e-02  1.54490964e-02  5.26151806e-03  2.16090679e-02
 -5.70205227e-03  1.03903562e-02 -8.56736582e-03 -2.59908102e-03
  8.81451368e-03 -1.33333467e-02  1.50979953e-02  8.80632736e-03
  3.23022925e-03  6.01810729e-03 -7.39458017e-03 -2.60717561e-03
 -1.73357278e-02  1.55805675e-02 -8.81024264e-03 -4.15107049e-03
 -1.15069542e-02  4.55728779e-03  1.43125160e-02 -1.81939416e-02
  1.31769804e-02 -2.35721320e-02  1.60328764e-02 -5.74968942e-03
  1.29674049e-02  8.57057702e-03  1.50726805e-03  1.57667808e-02
  1.31010646e-02  6.65500714e-03 -1.57556050e-02  2.75832345e-03
  1.06923690e-03 -2.29065400e-03 -1.72783132e-03  1.04414644e-02
  4.63821553e-03  5.88256626e-05 -2.85606179e-03  9.10328049e-03
  1.14381053e-02  1.64243195e-03 -2.03880109e-02  5.05602919e-03]"
1.0,2025-12-28,way over rated horrible acting and fake blood not worth it,130.5,"[ 3.85595821e-02 -6.38846913e-03 -5.81910252e-04 -3.18704010e-03
 -6.66492037e-04 -4.12353920e-03  3.68337184e-02 -1.12712150e-02
  3.26707610e-03 -2.58961401e-04  4.22711571e-04  9.75195412e-03
 -8.66932143e-03  5.69983386e-03  1.23292988e-03 -2.01354921e-02
 -1.24998325e-02  7.05237128e-03 -1.70370055e-04 -1.28001906e-02
 -6.28887909e-03  8.24966375e-03 -1.93160871e-04 -5.75450686e-05
 -2.90506333e-03  1.56137685e-03 -4.35799034e-03 -2.25445293e-02
 -7.16263521e-03 -2.91486620e-03 -7.56707741e-04  9.65924561e-03
  5.76569000e-04 -7.12507032e-03  1.47814872e-02  9.93683096e-03
  1.13133714e-02  1.74046159e-02 -1.20797765e-03 -9.61276796e-03
 -1.20000727e-02 -1.05610844e-02  5.18576754e-03 -1.28982996e-03
  1.34577993e-02 -1.93346036e-03  1.05929272e-02  5.12905326e-03
  3.80706019e-03 -2.84820851e-02 -1.40306829e-02  6.02498790e-03
 -1.92548789e-03  7.31471600e-03  1.91809749e-03 -3.10804765e-03
  1.36094280e-02  1.12918681e-02 -7.34380027e-03 -1.81209166e-02
 -5.49668795e-04 -1.40095130e-04  1.51278088e-02 -1.91310595e-03
 -1.69961806e-02  8.90781917e-03  1.40529517e-02  1.01423785e-02
 -5.26198559e-03 -3.75158689e-03 -6.99559925e-03  1.52037628e-02
 -1.82181820e-02 -8.15505337e-04  4.53581614e-03 -2.99213920e-03
  1.43093178e-02 -1.76145844e-02  3.57055641e-03 -1.36962561e-02
 -1.07173435e-02  4.40769689e-03 -1.65866513e-04  6.67142728e-03
  1.87073424e-02 -9.78246680e-04 -1.42005589e-02  3.24579962e-02
 -2.25332007e-03  2.44618170e-02 -1.14973756e-02 -1.64245008e-04
 -3.75894830e-03 -6.85603451e-03 -1.52642755e-02 -5.05781872e-03
  7.46063143e-03  1.18770655e-02 -1.62844434e-02 -4.58349736e-04]"
