rating,date,content
4,2026.01.20,"good twist, however the first half dragged on."
5,2026.01.18,Foot on the gas from start to finish. Even with subtitles this movie kills it. The climactic ending is one of one.
4.5,2026.01.16,"Parasite leaves you with the feeling of having seen something truly different. It starts almost like a game, lowers your guard, and gradually pulls you into something far darker. One of its greatest strengths is how effortlessly it blends tones: black comedy, social satire and rising tension coexist without ever feeling forced. The film’s use of space and visual contrasts adds as much meaning as the dialogue, giving every scene a precise but never cold clarity. Bong Joon-ho observes rather than judges, letting the story speak for itself while pressing exactly where it hurts most. It’s smart, sharp, uncomfortable and deeply entertaining. Not quite perfect, but very close."
4,2026.01.15,8.5/10
5,2026.01.12,An example of a perfect film.
5,2026.01.11,"Is an absolute must-see. True, harsh, it hits you right in the face. This movie explains and makes you understand so many sad existing realities of our world"
5,2026.01.09,Timeless. A tasteful inspiration.
5,2026.01.04,"THE GOOD: At face value, the drama is very cartoony and almost sit com like. It's entertaining, sure, but it's not what makes this movie so good. What makes it so good is the layered messaging/symbolism hidden in so many scenes about classism. Acting is superb. cinematography is great. The twists and turns are all enticing and make you want to keep watching. The director teases so many different directions the movie COULD take. It's done masterfully to keep you engaged and on your toes the entire time. THE BAD: Some of the scenes are a little bit too cartoony/ridiculous for my liking. The father dragging himself across the room just looked bad. He clearly did it for the suspense and drama but for me it just landed flat. The other bad thing about this movie is that it's not for everyone. It's a thinker movie. That's why it's not super mainstream. It doesn't take away from the movie but it's definitely a downside. This is not a movie you turn on to be brainlessly entertained."
5,2026.01.04,"I didn't watch this film until well after it dominated at the Academy Awards. Much to my pleasant surprise, it absolutely lived up to its reputation. Simply incredible and engaging."
1.5,2026.01.03,Watched it because I saw it recommended on a horror site I follow. It was definitely not horror in any way. Really disappointed.
1,dec 28,Way over rated. horrible acting and fake blood. not worth it.
5,dec 28,"Yes, you have to watch subtitles. It's worth it: Smart, funny and poignant plot. And, as an added bonus, gives you some insight into South Korean culture."
0.5,dec 27,"Cara, que filme HORROROSO FOI ESSE? Só assisti porque simplesmente TODO MUNDO falou bem desse filme e que filme HORRÍVEL! Perdi 2h da minha vida!"
5,dec 20,"MARAVILHOSOOOOO. A direção, atuação… tudoooooo. A crítica social perfeita e super bem feita!!!!! Tudo é bem colocado, nada é coincidência… Queria que o mundo todo fosse obrigado a ver essa obra prima."
