content,rating,date,source_site
"its not really a review but my attempt to explain how i interpreted the movie to those who complain that the film is overrated especially if the reason is that they didnt like the second half of it

its much easier to understand the message of a movie when the good guys win or the bad guys get punished in the end im not saying that all hollywood films are so naive in their portrayal of moral values but still i believe that parasite is much more subtle than most other movies that people are accustomed to watching in which theres a character with a clearer moral center whom audiences can easily relate to so i think its no surprise if the message of this film had failed to register for some of the audiences

some complained that they dont understand kitaeks motive for killing mr park but to fully appreciate this you need to understand the meaning of a recurring expression in the dialogue which is crossing the line

its a deliberately ambiguous phrase that can either read as one should respect other peoples privacy or as one should mind ones own social position instead of meddling with the affairs of those in a different position if interpreted as the latter meaning it can serve as another image that emphasizes the subject matter of the narrative along with more easy to notice the metaphor of the two families respective dwellings

it would probably have satisfied such audiences who expected more lighthearted drama if the movie focused on an underprivileged but more likable family exploiting a cold hearted snobbish family in a comical manner but the movie would have lost all its genuine charms if bong joonho chose such a path and he is too good a director not to see such a danger

instead he chose to make mr park a reasonable enough character despite his occasional hints that reveal his true nature",5.0,2019-10-18,imdb
"i am remarkably stingy with my 1010 ratings ill be the first person to acknowledge this of the roughly 2600 titles ive rated on here only 34 have a 10 parasite is one of them if this isnt a masterpiece then i dont know what is

im going to keep it vague on the plotfront because i didnt know anything about it going in and was really excited to see it progress and unfold in satisfying unexpected ways

what i will say is that this film more than just about any other ive seen put me through so many different emotional states during its 132minute runtime and did so without ever feeling muddled or tonally inconsistent parts of this movie were hilarious parts were heartbreaking other parts were insanely suspenseful im honestly not sure if ive felt this close to the edge of my seat since the final season of breaking bad way back in 2013

and it does all this while being perfectly paced beautifully directed and amazingly acted from every single member of its cast all the characters are understandable and sympathetic to some degree the amount of conflict drama and tension derived from a narrative with no clear heroes and villains is staggering you come to care for just about all of them

im stumped to come up with any flaws for this movie and sure ive seen many movies that are hard to fault but its rare that a movie appeals to me on a gut level and excites me to this degree while also being so close to technically perfect its extremely entertaining thoroughly moving in so many different ways and as icing on the cake theres a ton of social commentary and some heavy themes to chew on once the movies over and this ones not going to leave my head for a while i can tell

catch this one when you can and believe the hype joonho bong has made many great films and so far no bad ones but this even manages to stand head and shoulders above all the others",5.0,2019-07-05,imdb
"i cant remember the last time i saw a movie that contained as many genres as parasite the movie starts out almost like an oceans eleven heist film and then expands into a comedy mystery thriller drama romance crime and even horror film it really did have everything and it was strikingly good at all of them too

i love a film that respects its audience there are so many details in this movie that are crucially important and yet the film trusts its audience to notice them and acknowledge them without ramming them down our throats there are a lot of layers to this film and i suspect for this reason its rewatchability factor will be very high

the film was incredibly entertaining too i cant think of a boring scene in this movie and yet on the surface for large parts of the film you would say not a lot is happening at least in terms of action fascinating characters and brilliant dialogue are what create this i had a great time with parasite and i think most that give it a chance will too",4.0,2019-10-06,imdb
"in a meritocracy success and fortune are reserved for those who deserve itthose who develop solid plans according to their talents and abilities and who execute those plans through hard work and determination anyone can rise to the top and for some lucky cinderella plucked from the cinders and gussied up in gowns the meritocracy represents the heights of perfect egalitarian society i started with nothing and ended up with everything i ever desired you too can achieve you dreams if only you try

the promise of unobstructed sunshine at the top of the mountain becomes justification for bitter competition backstabbing deceit and callousness you climb the crooked ladder until you make it to the straight one and then perhaps when you at last feel secure you can afford to be kind and confident and generous its easy to be nice when youre rich the mother in this film jang hyejin at one point observes

but its a very long and very crooked ladder and sometimes the rungs give out beneath your grip and sometimes theyve been dangerously greased by those who climbed before you and sometimes the ladder itself is simply kicked downeither by those above you or just as often by those staring up from the ground below there are a lot of people trying to climb that one ladder

but in a meritocracy you cant blame the ladder or the other people trying to climb it nor can you blame the fact that all the good stuff is kept so many stories up instead of down at the ground where everyone can easily reach it no you must blame yourself you should have tread more carefully you should have climbed more quickly you should have used a firmer and more precise grip anticipated disasters and known just when to leap if you fail in a meritocracy its all your fault you should have tried harder better luck next time",5.0,2019-08-25,imdb
"this movie is a gosh darn masterpiece it will make you belly laugh it will chill you to the bone and it will make you shed a tear this movie will stay with you long after the credits are over

if you plan on watching this movie avoid spoilers at all costs",5.0,2019-08-19,imdb
this is a well written and well perfomed original film with a lot of repetitive cinema these day i felt this was something new i felt connected and engaged with the character throughout the film there are several well directed tense moments throughout the film a popular topic of class struggled well portrayed its always nice to see foreign language films having worldwide success,4.5,2020-01-12,imdb
the most original film of 2019 and it is wickedly funny and darkly disturbing all at the same time the narrative and the actors were excellent one of the better endings of a movie in quite a while class warfare at its best,5.0,2020-02-04,imdb
well written and performed also technically shines cinematography  bgm are too good and theres not even a single lag its perfectly edited probably the best experience in recent times its pure art resembles the modern society the emotions they had shelved are insanely exceptional a layered masterpiece if you like dark thrillers then you shouldnt miss mr bong joonhos parasite definitely tops the list of best movies in 2019,5.0,2019-08-19,imdb
"as a film about a family imposing on another and keeping dark secrets hidden beneath the surface parasite achieves what jordan peele set out to do with us tell a multilayered story in a widely entertaining manner but without sacrificing the believability of its central narrative

thats not to say that us is an ineffective film by any means but when it comes to crafting weighty social commentaries under the guise of lighter fare writerdirector bong joonho is in a class of his own

the film follows a lowerclass south korean family as they slowly integrate themselves in the lives of an upperclass family and their lavish household as their entanglement is spun out of a web of deceit the lowly family find themselves skating on thin ice when it comes to keeping up appearances

its a twisty satire on socialeconomic disparities in south korean society that swings broadly in tone and sometimes threatens to tip over the edge but never feels less than meticulously calculated in its tonal shifts

however to reveal anything more about the story would be to take away from the overall experience as each act is marked by a major plot twist or revelation that keeps the film one step ahead of the viewer at all times go in blind if you can and expect an unforgettable ride",4.5,2019-07-02,imdb
the film is interesting but thats about it the first hour was really slow the whole class thing seemed quite familiar im not sure why people are falling over themselves about this film maybe since it was korean yet with an accessible story and familiar film language that it suddenly moved westerners to see the light anyway the second half twists and turns struck me more as a wacky story line i would have seen on a soap opera back in the day like young and the restless or days of our lives overall im more critical of the critics than of the film i recommend seeing this its worth a look but all the oscars and best film of the decade stuff is incomprehensible,3.0,2020-02-19,imdb
